ds,yhat
01/08/2023,€ 1.079362
02/08/2023,€ 1.076349
03/08/2023,€ 1.079764
04/08/2023,€ 1.079280
05/08/2023,€ 1.079939
06/08/2023,€ 1.076999
07/08/2023,€ 1.079499
08/08/2023,€ 1.082142
09/08/2023,€ 1.079300
10/08/2023,€ 1.082853
11/08/2023,€ 1.082469
12/08/2023,€ 1.083188
13/08/2023,€ 1.080268
14/08/2023,€ 1.082747
15/08/2023,€ 1.085328
16/08/2023,€ 1.082387
17/08/2023,€ 1.085806
18/08/2023,€ 1.085257
19/08/2023,€ 1.085784
20/08/2023,€ 1.082651
21/08/2023,€ 1.084902
22/08/2023,€ 1.087246
23/08/2023,€ 1.084065
24/08/2023,€ 1.087248
25/08/2023,€ 1.086473
26/08/2023,€ 1.086791
27/08/2023,€ 1.083470
28/08/2023,€ 1.085560
29/08/2023,€ 1.087774
30/08/2023,€ 1.084499
31/08/2023,€ 1.087625
01/09/2023,€ 1.086833
02/09/2023,€ 1.087174
03/09/2023,€ 1.083917
04/09/2023,€ 1.086110
05/09/2023,€ 1.088466
06/09/2023,€ 1.085367
07/09/2023,€ 1.088701
08/09/2023,€ 1.088144
09/09/2023,€ 1.088744
10/09/2023,€ 1.085763
11/09/2023,€ 1.088246
12/09/2023,€ 1.090898
13/09/2023,€ 1.088096
14/09/2023,€ 1.091723
15/09/2023,€ 1.091451
16/09/2023,€ 1.092320
17/09/2023,€ 1.089590
18/09/2023,€ 1.092300
19/09/2023,€ 1.095152
20/09/2023,€ 1.092521
21/09/2023,€ 1.096286
22/09/2023,€ 1.096119
23/09/2023,€ 1.097057
24/09/2023,€ 1.094362
25/09/2023,€ 1.097071
26/09/2023,€ 1.099889
27/09/2023,€ 1.097191
28/09/2023,€ 1.100858
29/09/2023,€ 1.100563
30/09/2023,€ 1.101349
01/10/2023,€ 1.098477
02/10/2023,€ 1.100989
03/10/2023,€ 1.103592
04/10/2023,€ 1.100664
05/10/2023,€ 1.104091
06/10/2023,€ 1.103548
07/10/2023,€ 1.104080
08/10/2023,€ 1.100952
09/10/2023,€ 1.103208
10/10/2023,€ 1.105558
11/10/2023,€ 1.102382
12/10/2023,€ 1.105568
13/10/2023,€ 1.104793
14/10/2023,€ 1.105103
15/10/2023,€ 1.101765
16/10/2023,€ 1.103825
17/10/2023,€ 1.105994
18/10/2023,€ 1.102652
19/10/2023,€ 1.105689
20/10/2023,€ 1.104782
21/10/2023,€ 1.104979
22/10/2023,€ 1.101547
23/10/2023,€ 1.103533
24/10/2023,€ 1.105647
25/10/2023,€ 1.102272
26/10/2023,€ 1.105296
27/10/2023,€ 1.104397
28/10/2023,€ 1.104624
29/10/2023,€ 1.101242
30/10/2023,€ 1.103298
31/10/2023,€ 1.105502
01/11/2023,€ 1.102236
02/11/2023,€ 1.105386
03/11/2023,€ 1.104630
04/11/2023,€ 1.105013
05/11/2023,€ 1.101800
06/11/2023,€ 1.104034
07/11/2023,€ 1.106424
08/11/2023,€ 1.103348
09/11/2023,€ 1.106690
10/11/2023,€ 1.106123
11/11/2023,€ 1.106691
12/11/2023,€ 1.103654
13/11/2023,€ 1.106054
14/11/2023,€ 1.108595
15/11/2023,€ 1.105653
16/11/2023,€ 1.109110
17/11/2023,€ 1.108638
18/11/2023,€ 1.109277
19/11/2023,€ 1.106287
20/11/2023,€ 1.108710
21/11/2023,€ 1.111250
22/11/2023,€ 1.108283
23/11/2023,€ 1.111692
24/11/2023,€ 1.111151
25/11/2023,€ 1.111704
26/11/2023,€ 1.108612
27/11/2023,€ 1.110922
28/11/2023,€ 1.113340
29/11/2023,€ 1.110248
30/11/2023,€ 1.113533
01/12/2023,€ 1.112873
02/12/2023,€ 1.113316
03/12/2023,€ 1.110129
04/12/2023,€ 1.112361
05/12/2023,€ 1.114724
06/12/2023,€ 1.111601
07/12/2023,€ 1.114883
08/12/2023,€ 1.114250
09/12/2023,€ 1.114751
10/12/2023,€ 1.111653
11/12/2023,€ 0.848800
12/12/2023,€ 0.847800
13/12/2023,€ 0.852400
14/12/2023,€ 0.851700
15/12/2023,€ 0.853100
16/12/2023,€ 0.851700
17/12/2023,€ 0.850100
18/12/2023,€ 0.844900
19/12/2023,€ 0.844700
20/12/2023,€ 0.842900
21/12/2023,€ 0.842400
22/12/2023,€ 0.842300
23/12/2023,€ 0.841000
24/12/2023,€ 0.844200
25/12/2023,€ 0.846200
26/12/2023,€ 0.847200
27/12/2023,€ 0.849300
28/12/2023,€ 0.849500
29/12/2023,€ 0.847700
30/12/2023,€ 0.848700
31/12/2023,€ 0.847300
01/01/2022,€ 0.846800
02/01/2022,€ 0.846300
03/01/2022,€ 0.844700
04/01/2022,€ 0.849000
05/01/2022,€ 0.843000
06/01/2022,€ 0.842000
07/01/2022,€ 0.844200
08/01/2022,€ 0.848000
09/01/2022,€ 0.845600
10/01/2022,€ 0.842800
11/01/2022,€ 0.842600
12/01/2022,€ 0.843700
13/01/2022,€ 0.843300
